Law Firm Name,State Served,Website,Specialities,Consultation Email,Contact Form Link, General Phone Number,Phone Number 1,Address 1,Phone Number 2,Address 2,Phone Number 3,Address 3,Phone Number  4,Address 4,Phone Number 5,Address 5,Phone Number 6,Address 6,Phone Number 7,Address 7,Phone Number 8,Address 8,Phone Number 9,Address 9,Phone Number 10,Address 10,Phone Number 11,Address 11,Phone Number 12,Address 12,Phone Number 13,Address 13,Phone Number 14,Address 14,Phone Number 15,Address 15,Phone Number 16,Address 16
Law Offices of Brelje and Associates,Arizona,https://www.breljelaw.com/,"physician immigration, employment visas, investor visas, employer 1-9 and E-verfiy compliance, applications for citizenship, green card applications, applications for greencards, petition for alien relatives,   ",,https://www.breljelaw.com/contact.htm, 623- 536-5750,,"3080 North Litchfield Road
Goodyear, Arizona 85395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clifford Levenson, Attorney at Law",Arizona,https://www.legalhelpontheway.com/,family immigration,,https://www.legalhelpontheway.com/?npcmp=dir:local:3083384:85015,602-842-0834,,"5119 North 19th Avenue
Suite K
Phoenix, AZ 85015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vikram Badrinath, P.C.",Arizona,http://www.vkblaw.com,immigration law,,http://www.vkblaw.com/contact.htm, 520- 620-6000,,"100 North Stone Avenue, Suite 302, Tucson, Arizona 85701-1514, U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westover Law,Arizona,https://www.westoverlawfirm.com/,immigration law, westoverlawfirm@gmail.com,https://www.westoverlawfirm.com/contact,480-284-4200,,"1012  S. Stapley Dr. #109 Mesa, Az 85204 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law Offices of  Marina Alexadrovich,Arizona,https://www.eloyimmigration.com/,bond and deportation hearings,,https://www.eloyimmigration.com/contact/,,480-377-1111,"405 w southern ave Tempe, AZ 85282", 623- 594-5490,"1450 N Dysart Rd
Avondale, AZ 85323",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelayo Law Firm,Arizona,https://adelayolaw.com/,"asylum law, citizenship and naturalization, deportation or removal defense, family based immigrant visas, green card through family member, consular process, fiancee visa, green card through adjustment of status, same sex marriage and immigration",,https://adelayolaw.com/contact-us/,, 602-258-1882,902 N 5th av phoenix AZ85003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pollack, Pollack, Isaac & DeCicco, LLP ",New York,https://www.ppid.com/,"Family-Based Immigrant Visas, Employment-Based Immigrant Visas, Nonimmigrant Visas, Immigration Visa Process, Immigration FAQs, PERM-Labor Certifications, H1-B Visas, Green Cards, Naturalization, Deportation, U Visa  Crime Victims-, Special Immigrant Juvenile Status  SIJS-, DACA  Deferred Actions-, Who pays for H-1B & Green Card Fees?
",info@ppid.com,https://www.ppid.com/contact-us/,800-223-2814,212-233-8100,"225 Broadway, 3rd Floor, New York, New York 10007", 914-328-2400,"906 South Streetcar, Peekskill, New York 10566",718-333-5906,"107 Avenue I, Brooklyn, New York 11230",,,,,,,,,,,,,,,,,,,,,,,,,,
Barrera Legal Group ,New York,https://www.barreralegal.com/,"Green Card Attorneys, Employment Based Immigration, Deportation Attorneys, VAWA & U-VISA Attorneys",ybarrera@barreralegal.com,https://www.barreralegal.com/contact-us/ ,516-325-1527,,"18 E. Sunrise Highway, Suite 206, Freeport, New York 11520",,"216 12th Avenue Road South, Nampa, Idaho 83686",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchanda Law Office PLLC,New York,https://manchanda-law.com/,"Family-Based Immigrant and Non-immigrant Visa Petitions, Employment-Based Visa Petitions, Executive Office for Immigration Review  “EOIR”- and Board of Immigration Appeals  “BIA”- Immigration Deportation and Removal Defense ",rdm@manchanda-law.com,https://manchanda-law.com/contact-us/, 855- 207-7660, 212- 968-8600,"Manchanda Law Office PLLC, 30 Wall Street, 8th Floor, New York, New York 10005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Law Office of Mustafa Cetin,New York,https://www.cetinesq.com/,"Full Service Immigration, Federal Immigration Litigation, Turkish Law, Family Immigration, Business Immigration, Naturalization, Asylum",info@cetinesq.com,https://www.cetinesq.com/consultation, 201--957-0909,,"18-01 River Rd, Fair Lawn, NJ 07410, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lubiner, Schmidt, and Palumbo, LLC","New York, New Jersey",https://www.lslawyers.com/,"Business Immigration, Family Immigration, Student Visas, Permanent Residency, Temporary Visitor, U Visa - Victims of Criminal Activity, Citizenship and Naturalization, Deportation, Diversity Immigration Visa Program, Immigration FAQ's, Preference System, The Three Steps of the PERM Process, The Effect Layoffs on H-1B Workers", ,https://www.lslawyers.com/contact-us.html, 844- 288-7978,,"313 W 82nd St, New York, NY 10024", 908- 709-0500,"123 N Union Ave #305, Cranford, NJ 07016",,"7 Mt Bethel Rd, Warren, NJ 07059",,"One Gateway Center #2600, Newark, NJ 07102",,"3514 Park Ave, Weehawken, NJ 07086",,,,,,,,,,,,,,,,,,,,,,
Tseitlin Law Firm P.C.,New York,https://www.tseitlinlaw.com/,"Employment Immigration, Family Immigration, H1B & Professional Visas, Visas for Athletes, Visas for Entertainers, Deportation Defense", ,https://www.tseitlinlaw.com/contact/,212-944-7434,917-748-4713,"345 Seventh Avenue, New York, NY 10001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law Office of Shafi Chowdhury,New York,https://schowdhurylaw.com/,,info@schowdhurylaw.com,https://schowdhurylaw.com/contact, 646- 543-5839,,"118-21 Queens Blvd, Suite 603, Forest Hills, NY 11375",,"100 Duffy Ave, Suite 510, Hicksville, NY 11801",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bretz & Coven, LLP",New York,https://www.bretzlaw.com/,"Adjustment of Status, Criminal Consequence, Green Cards, Deportation Defense, Naturalization, Writ of Mandamus, Consular Processing, Asylum Federal Challenges, Waivers, Supreme Court Challenges",kwbretz@bretzlaw.com,https://www.bretzlaw.com/, 212- 267-2555,,"305 Broadway, Ste 100, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fragomen, Del Rey, Bernsen, & Loewy, LLP","New York, New Jersey, Georgia, Illinois, Texas, California, Arizona, Pennsylvania, Michigan",https://www.fragomen.com/,,info@fragomen.com,https://www.fragomen.com/contact-us,, 212- 688-8555,"1400 Broadway, New York, NY 10018", 732- 862-5000,"90 Matawan Road, Matawan, NJ 07747", 404- 856-5500,"1355 Peachtree St NE STE 900, Atlanta, GA 30309",,"333 W Wacker Dr, 15th Floor, Chicago, IL 60606", 972- 233-6646,"5080 Spectrum Drive, Suite 850W, Addison, TX 75001", 281- 605-3100,"4 Houston Center, 1331 Lamar, Suite 1570, Houston, TX 77010", 949- 261-0209,"18401 Von Karman Avenue, Suite 255, Irvine, CA 92612-1596", 310- 820-3322,"444 South Flower Street, Suite 500, Los Angeles, CA 90071", 602- 266-1825,"7500 N Dreamy Draw Dr #230, Phoenix, AZ 85020", 724- 933-6400,"7000 Brooktree Rd #100, Wexford, PA 15090", 248- 649-5404,"755 W Big Beaver Rd, Suite 750, Troy, MI 48084",,,,,,,,,,
"Calderon Law Office, P.C.",New York,http://www.calderonlawoffice.com/,"Citizenship, Permanent Residency, Consular Processing, Waivers, Family-Based Petitions, Employment-Based Petitions, Fiancée Visas, Cancellation of Removal, Asylum, TPS, Employment Authorization, Effect of Conviction s- on Immigration Status",jsc@calderonlawoffice.com,http://www.calderonlawoffice.com/contact,, 646- 372-8070,"139 Fulton Street, Suite 508, New York, NY 10038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spektor, Spektor & Berman, P.C.","New York, Pennsylvania",http://spektorlawgroup.com/index.html,"Status Adjustment, Marriage Green Cards, Same Sex Marriage, Deportation Defense, Work Visas & Labor Certification, USCIS Interviews, Stokes Interviews, Mandamus Petitions, Bond Hearings, Removal Appeals, Criminal Immigration Problems, Deferred Action, Abused Spouse  VAWA- Petition, USCIS Forms, Political Asylum",info@spektorlawgroup.com,http://spektorlawgroup.com/contact-us.html, 215- 608-7184, 215- 608-7184,"420 Lexington Ave Suite 628, New York, NY 10170", 215- 608-6398,"1500 Market Street, East Tower, 12th Floor, Philadelphia, PA 19102",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khashmati & Associates, P.C",New York,https://khashmatilaw.com/,"Relative Petitions, Political Asylum, Asylee Relative Petition, Status for Finances  K-1-, Citizenship, Petition to Remove Conditions, Replacement of Green Card, Abused Spouse Petition, Other Immigration Matters",contact@khashmatilaw.com,https://khashmatilaw.com/contact/,, 516- 717-4757,"69-06 Grand Avenue, Maspeth, New York 11378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaime Winthuysen Aparisi & Associates, LLC",Federal,https://aparisi.com/,"Adjustment of Status, Application for Advance Parole, Asylum, Consular Processing, Credible and Reasonable Fear Interview, Deferred Action for Childhood Arrivals  DACA-, EB-5 Immigrant Visa Investors, NACARA, PERM Labor Certification  DOL-, Special Immigrant Juvenile  SIJ- Status, Temporary Protected Status  TPS-, U Nonimmigrant Visa, VAWA",info@aparisi.com,https://aparisi.com/contact/, 301- 562-1416,,"8630 Fenton St Suite 925, Silver Spring, MD 20910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrick Immigration Law,New York,https://www.merrickimmigration.com/,"Immigration News, Family Immigration, Investment Visas, Naturalization, Employment-Based Immigration, Non-Immigrant Visas, Additional Immigration Services",info@MerrickImmigration.com,https://www.merrickimmigration.com/contact-us/, 646- 813-0618,,"1325 Avenue of the Americas, 28th Floor, New York, NY 10019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Law Offices of Shane D. Scott, P.C.",New York,https://www.shanescottlaw.com/,"Business Green Card, Family Green Card, Fiancée Visas, VAWA Self Petition, Adjustment of Status, Deportation, Motion to Reopen, Waivers and Appeals, Entertainer and Artist Visas, Religious Worker Visa",sscott@shanescottlaw.com ,https://www.shanescottlaw.com/contact-us.html, 800- 230-0744,,"40 Wall St 28th Floor, New York, NY 10005",,"70 Sunrise Hwy #500, Valley Stream, NY 11581", 718- 701-2896,"155-03 Jamaica Avenue, Jamaica, NY 11432", 800- 230-4215,"73 Market Street #376, Yonkers, NY 10710",,,,,,,,,,,,,,,,,,,,,,,,
"Henner Law Group, P.C.",New York,https://whiteplainsimmigrationlawyer.com/,"Cancellation of Removal, Citizenship, Deportation and Removal, EB-1 Aliens of Extraordinary Ability, Family Based Immigration, Naturalization, PERM Green Card Process, Political Asylum, Provisional Waivers, Special Immigrant Juvenile, VAWA Cases, Non-immigrant Visas  H-1B, O, L-1, E-1, TN-",susan@sbhenner.com,https://whiteplainsimmigrationlawyer.com/contact-susan-henner/,, 914- 290-5777,"222 Bloomingdale Road, Suite 308, White Plains, NY, 10605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheryl R. David Law Immigration & Nationality Law,New York,https://www.cheryldavidlaw.com/,"Immigration Law Areas, Family Immigration, Naturalization, Deportation and Removal Defense, Employment Immigration, Temporary Visas", ,https://www.cheryldavidlaw.com/contact/,, 646- 681-4252,"299 Broadway, Suite 706, New York, NY 10007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahman Legal PC,New York,https://www.rahmanlegalpc.com/,"Green Card, Waivers, Divorce, U.S. Citizens, Asylum, Child Support & Custody, Removal Defense, EB-5 Immigration Investor, Labor Law",info@rahmanlegalpc.com,https://www.rahmanlegalpc.com/contact,, 917- 783-0665,"1460 Broadway, New York, NY 10036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gafner Law Firm, P.C.",New York,http://www.gafnervisalaw.com/,"Family Immigration, Business Immigration, Investor Immigration, Citizenship & Naturalization", ,http://www.gafnervisalaw.com/contact-information/,, 646- 571-8472,"One Penn Plaza, 36th Floor, New York, NY 10119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oltarsh & Associates, P.C.",New York,https://www.oltarsh.com/,"Business Immigration, Citizenship, Consular Processing, Deportation Defense, Family Immigration, Green Cards, Waivers",info@oltarsh.com,https://www.oltarsh.com/william-h-oltarsh/, 212- 944-9420,,"494 8th Ave #1704, New York, NY 10001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldstein and Cheung LLP,New York,https://www.gcimmigrationlaw.com/,"Employment- and Family-based Green Cards, H-1Bs, O-1s, E-3s, TNs, Student-, Scholar-, or Academic Institution-related Matters",contact@gcimmigrationlaw.com,https://www.gcimmigrationlaw.com/contact%20us, 212- 374-1544,,"80 Maiden Lane Suite 1008, New York, NY 10038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melnia Cordis Law PC,New York,https://www.melniacordislaw.com/,"Adoption, Immigration: Family Petitions, Religious Petitions, Extension of Status, Adjustment of Status, Work Permit, Waiver, US Citizenship, Consular Processing, Obtaining a Student Visa",info@melniacordislaw.com ,https://www.melniacordislaw.com/contact-us/, 718- 362-0453,,"442 East 53rd Street, Brooklyn, New York 11203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Margaret W. Wong & Associates, LLC","New York, Ohio, Illinois, California, Georgia, Minnesota",https://newyork.imwong.com/,"Family Visas, Health Care Professionals Immigration, Asylum, Citizenship and Naturalization, Work Visas, Immigrant Visas, Employment Based Immigration Services, Deportation, Removal Proceedings & Federal Court Appeals, Immigration Criminal Charges, Labor Certification",info@imwong.com ,https://newyork.imwong.com/contact/, 212- 226-7011, 212- 226-7011,"139 Centre Street, PH112, New York, New York 10013",216-566-9908,"MWW Building, 3150 Chester Ave., Cleveland, OH 44114",614-221-8892,"470 Olde Worthington Road, Suite 250, Westerville, OH 43082",312-463-1899,"401 S. LaSalle, Suite 800C, Chicago, IL 60605",216-566-9908,"225 South Lake Ave. Suite 300 Pasadena, CA 91101",678-906-4061,"5425 Peachtree Parkway, Norcross, GA 30092",612-469-9888,"5775 Wayzata Blvd, Suite 700, St. Louis Park, MN 55416",,,,,,,,,,,,,,,,,,
"M. Arda Beskardes, Attorney-at-Law",New York,http://www.hukuk.pro/,,arda@hukuk.pro,,718-766-9454,,"225 Broadway Suite 3001, New York, NY 10007 US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lubiner Schmidt and Palumbo, LLC","New Jersey, New York",https://www.lslawyers.com/,"Business Immigration, Family Immigration, Student Visas, Permanent Residency, Temporary Visitor, U Visa - Victims of Criminal Activity, Citizenship and Naturalization, Deportation, Diversity Immigration Visa Program, Immigration FAQ's, Preference System, The Three Steps of the PERM Process, The Effect Layoffs on H-1B Workers",alubiner@lslawyers.com,https://www.lslawyers.com/contact-us.html, 844- 288-7978, 908- 709-0500,"123 N Union Ave #305, Cranford, NJ 07016",,"7 Mt Bethel Rd, Warren, NJ 07059",,"One Gateway Center #2600, Newark, NJ 07102",,"3514 Park Ave, Weehawken, NJ 07086",,"313 W 82nd St, New York, NY 10024",,,,,,,,,,,,,,,,,,,,,,
American Immigration Lawyers Association,New York,https://www.aila.org/,Immigration Lawyer Database,probono@aila.org,https://www.aila.org/contact,202-507-7600,,"Suite 300, 1331 G Street, NW, Washington, DC 20005-3142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hogan, Edwards, & Blue, LLP",New York,https://usimmigrationpathway.com/,"Naturalization, Application for Legal Permanent Residency  Green Cards-, Petition for Alien Relatives, Removal of Conditions, Fiancé Petitions, J1 Waivers 2 Year Requirement, 601 Waivers of Unlawful Presence, Extension of Stay or Change of Status, Asylum, Employment Authorizations",immigration@hoganedwardsblue.com,, 888- 424-8496,,"200 Dick St Suite D, Fayetteville, NC 28301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Law Offices of Marilyn Orbach-Rosenberg,New York,http://www.orbachrosenberglaw.com/,"Appeals, Asylum, Border Arrests, Criminal Immigration & Immigration Fraud, Deferred Action, Deportation Defense, DREAM Act, Employment, Family, Fiancé e- Visas, Humanitarian Parole, Immigrant Visas, Naturalization & Citizenship, Non-Immigrant Visas, Same-Sex, Temporary Protected Status  TPS-, VAWA, Waivers", ,http://www.orbachrosenberglaw.com/contact-us/,718-440-9002,,"37-32 75th Street, 3rd Floor, Jackson Heights, NY 11372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J. Bruce Weinman, Esq. ",New York,https://www.inslawyers.com/,"Immigration Issues, Temporary Visa, Permanent Visa, Humanitarian Issues, Naturalization & Citizenship", ,https://www.inslawyers.com/contact/,917-402-3781 ,,"80 Pine Street, Suite 3304, New York, NY 10005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Vaisman P.C. Immigration,New York,https://www.vaismanpc.com/,"Removal Proceedings, Appeals and Motions to Reopen and Reconsider to U.S. Citizenship and Immigration Services, Immigration Court Appeals, Board of Immigration Appeals, Naturalization issues, Violence Against Women Act, Asylum, I-601 Waivers, I-601A Provisional Waivers",info@vaismanpc.com,https://www.vaismanpc.com//contact.html,646-253-0516,,"11 Broadway, Suite 615, New York, NY 10004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feiner & Lavy P.C.,New York,https://www.drimmigration.com/,"CSPA – Child Status Protection Act, Petition for Review, Asylum, Visas, Waiver, VAWA Petitions, Green Cards, Citizenship, Expiring I-551 Green Cards, Same-Sex Marriage Immigration, Consular Processing, Visiting the US, Bond Hearing, Battered Spouse or Children/VAWA, Criminal Immigration, Appeals to BIA, Deportation & Removal",,https://www.drimmigration.com/contact-us/, 212- 571-9200,,"325 Broadway, Suite 401, New York, NY 10007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgalas & Juarez, L.P.A. ",Ohio,https://www.bgjattorneys.com/attorney/juarez-jose-a-jr/,"asylum, immigration, deportation defense, citizenship and naturalization, green cards, permanent residential cards, immigration & criminal defense",,https://www.immigrationman.com/contact/ ,888-810-2904, 440- 525-3430,"6505 Rockside Road, Suite 275, Independence, OH 44131",Se Habla Español 888-810-2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Combs, Schaefer, Ball & Little",Ohio,https://www.middletownlaw.com/ ,family law ,,https://www.middletownlaw.com/contact-us/,5134241660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yazdani Law, LLC","Ohio, Texas ",https://www.yazdani.law/,"adjustment, visas, K-1 fiance, I-751, waivers, naturalization",info@yazdani.law,https://www.yazdani.law/contact, 800- 469-4610, 614- 961-4414,"175 S 3rd St., Suite 1010, Columbus, Ohio 43210",,"325 N. St. Paul Street, Suite 3100, Dallas, Texas 75201",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Immigration Law,Ohio,https://www.brown-immigration.com/,"adjustment of status, agencies, bars to returning to the US, change of status, citizenship, consular processing, diversity visas",,https://www.brown-immigration.com/contact-us/,216-861-4414,,"1468 W 9th St, Ste 705, Cleveland, OH 44113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pogue Law Firm LLC,Ohio,https://www.pogueimmigrationlaw.com/contact ,"DACA, comprehensive immigration reform, family immigration",cpogue@immigrate2usa.com ,https://www.pogueimmigrationlaw.com/contact, 513- 549-4420,,"810 Sycamore Street, 2nd Floor, Cincinnati, Ohio 45202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter Law Office, LLC",Ohio,https://porter-law.com/ ,"Employment-Based Immigration,Family-Based Immigration, K-1 Fiance Visas, Adjustment of Status  Green Card-, Specialty Occupation Worker  H1B Visa-, PERM Labor Certification, Naturalization  U.S. Citizenship-",,https://porter-law.com/contact/, 614- 428-2887,,"255 Lincoln Circle Columbus, OH 43230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simakovsky Law,Ohio,https://www.immigrationattorneycolumbus.com/,"removal defense, affirmative asylum applications, family based immigration, DACA, naturalization, VAWA and U visas, employment-based immigration, TSP, disability waivers",alubiner@lslawyers.com,https://www.immigrationattorneycolumbus.com/contactus/, 614- 695-4605,,"460 E Main St, Columbus, OH 43215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Barrera Law Firm, PLLC.",Virginia ,https://www.barreralawfirm.com/,"family petitions, asylum  affirmative and defensive-, special immigrant juvenile status matters and removal defense",,https://www.barreralawfirm.com/contact-us/,571.290.2390,,"5845 Richmond Highway,
Suite 620
Alexandria, VA 22303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Virginia Immigration Law Firm, PLLC",Virginia ,https://www.novaimmigrationlawfirm.com/,"removal defense, employment-based immigration, asylum, naturalization and citizenship, family-based immigration, appeals and federal court litigation, waivers, criminal+immigration",,https://www.novaimmigrationlawfirm.com/, 703- 854-1046,,"180 S. Washington Street, Suite B
Falls Church, VA 22046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natalia Segermeister, Immigration Lawyers of Price Benowitz",Virginia ,https://thevisafirm.com/,"Asylum, deportation defense, employment, family, immigration bond, investor visa, student vise, victims of crimes, waivers",,https://thevisafirm.com/contact/,, 703- 552-5603,"10505 Judicial Dr #104,
Fairfax, VA 22030", 202- 751-2716,"409 7th St NW #235,
Washington, DC 20004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Virginia Law Center for Immigration and Citizenship, PLLC",Virginia ,https://virginiaimmigrationcenter.com/,"Family immigration, fiancee visas, spousal visas, permanent residency status, labor certification, investor visas, deportation defense, temporary work visas, political asylum, citizenship and naturalization, I-9 employer assistance",,https://virginiaimmigrationcenter.com/consultation/, 703- 621-9009,,"11710 Plaza America Dr #2000
Reston VA 20190",,"4601 Fairfax Dr
Arlington VA 22203",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALVERDE LAW PLLC,Virginia ,https://www.valverdelaw.com/home,"I-601A Provisional Unlawful Presence Waiver, Green Card Through Marriage, K-1 Fiancé Visa, I-751 Petition to Remove Conditions, Naturalization And Citizenship, Deferred Action For Childhood Arrivals  DACA-, Parole In Place For Military Families, Deportation Defense, Employment Based Visas",office@valverdelaw.com,https://www.valverdelaw.com/contact-us-2,757-422-8472,,"397 Little Neck Road
3300 building, Suite 205
Virginia Beach, VA 23452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law Office Of Susan R. Torres PL,Federal ,http://www.torresimmigrationlaw.com/?gclid=Cj0KCQiAkuP9BRCkARIsAKGLE8XbzA-cnEIQI_eM7DnR4ugohI35F6qmtqSlzrGgCBI6A6asqpKaEqIaAkzEEALw_wcB,"asylum, bia appeals, bond motions, citizenship and naturalization, temporary protected status, deferred action / executive orders, deportaton defense, employment based immigration, family immigration, lgbt immigration - asylum and family based, motions to reopen, post conviction relief, provisional waivers, special immigrant juvenile status, visas",,http://www.torresimmigrationlaw.com/?gclid=Cj0KCQiAkuP9BRCkARIsAKGLE8XbzA-cnEIQI_eM7DnR4ugohI35F6qmtqSlzrGgCBI6A6asqpKaEqIaAkzEEALw_wcB,786-332-3328,305-632-2282,"7750 SW 117 AVENUE, SUITE 202B
MIAMI, FL 33183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
